Date,HDFCBANK.NS,RELIANCE.NS,TCS.NS
2024-02-12 00:00:00+00:00,1390.0,1452.3499755859375,4120.7001953125
2024-02-13 00:00:00+00:00,1394.449951171875,1465.0999755859375,4149.5
2024-02-14 00:00:00+00:00,1384.050048828125,1481.375,4100.10009765625
2024-02-15 00:00:00+00:00,1414.050048828125,1470.5999755859375,4103.2001953125
2024-02-16 00:00:00+00:00,1419.9000244140625,1460.574951171875,4128.2998046875
2024-02-19 00:00:00+00:00,1417.0999755859375,1474.0,4103.7998046875
2024-02-20 00:00:00+00:00,1454.300048828125,1471.0250244140625,4030.64990234375
2024-02-21 00:00:00+00:00,1439.1500244140625,1467.699951171875,3991.5
2024-02-22 00:00:00+00:00,1419.550048828125,1481.75,4087.10009765625
2024-02-23 00:00:00+00:00,1420.5999755859375,1493.625,4052.10009765625
2024-02-26 00:00:00+00:00,1422.300048828125,1487.324951171875,4001.050048828125
2024-02-27 00:00:00+00:00,1420.1500244140625,1485.6500244140625,4104.39990234375
2024-02-28 00:00:00+00:00,1409.4000244140625,1455.625,4118.9501953125
2024-02-29 00:00:00+00:00,1403.4000244140625,1460.800048828125,4095.10009765625
2024-03-01 00:00:00+00:00,1430.75,1492.125,4094.35009765625
2024-03-04 00:00:00+00:00,1432.699951171875,1507.4000244140625,4080.699951171875
2024-03-05 00:00:00+00:00,1440.8499755859375,1500.199951171875,4012.10009765625
2024-03-06 00:00:00+00:00,1442.5999755859375,1503.0,4064.300048828125
2024-03-07 00:00:00+00:00,1446.0999755859375,1478.925048828125,4108.60009765625
2024-03-11 00:00:00+00:00,1427.800048828125,1466.5999755859375,4122.35009765625
2024-03-12 00:00:00+00:00,1459.550048828125,1475.425048828125,4192.25
2024-03-13 00:00:00+00:00,1460.4000244140625,1432.175048828125,4149.0
2024-03-14 00:00:00+00:00,1455.449951171875,1431.4749755859375,4207.60009765625
2024-03-15 00:00:00+00:00,1452.6500244140625,1418.2249755859375,4219.25
2024-03-18 00:00:00+00:00,1446.050048828125,1439.4749755859375,4152.5
2024-03-19 00:00:00+00:00,1449.3499755859375,1425.25,3977.300048828125
2024-03-20 00:00:00+00:00,1431.050048828125,1443.75,3970.89990234375
2024-03-21 00:00:00+00:00,1445.75,1450.9749755859375,3972.949951171875
2024-03-22 00:00:00+00:00,1442.8499755859375,1455.0250244140625,3910.89990234375
2024-03-26 00:00:00+00:00,1425.4000244140625,1441.574951171875,3877.5
2024-03-27 00:00:00+00:00,1440.699951171875,1492.8499755859375,3840.89990234375
2024-03-28 00:00:00+00:00,1447.9000244140625,1485.8499755859375,3876.300048828125
2024-04-01 00:00:00+00:00,1470.5,1484.7750244140625,3916.75
2024-04-02 00:00:00+00:00,1480.1500244140625,1486.949951171875,3883.800048828125
2024-04-03 00:00:00+00:00,1482.300048828125,1471.5999755859375,3947.300048828125
2024-04-04 00:00:00+00:00,1527.5999755859375,1462.925048828125,4003.300048828125
2024-04-05 00:00:00+00:00,1549.550048828125,1460.0999755859375,3979.25
2024-04-08 00:00:00+00:00,1546.5999755859375,1485.9749755859375,3972.550048828125
2024-04-09 00:00:00+00:00,1548.550048828125,1463.6500244140625,3946.550048828125
2024-04-10 00:00:00+00:00,1536.3499755859375,1479.574951171875,3984.64990234375
2024-04-12 00:00:00+00:00,1518.949951171875,1467.1500244140625,4001.39990234375
2024-04-15 00:00:00+00:00,1494.699951171875,1464.824951171875,3941.199951171875
2024-04-16 00:00:00+00:00,1509.25,1465.75,3872.800048828125
2024-04-18 00:00:00+00:00,1494.699951171875,1464.324951171875,3862.0
2024-04-19 00:00:00+00:00,1531.300048828125,1470.125,3826.199951171875
2024-04-22 00:00:00+00:00,1512.199951171875,1479.8499755859375,3864.60009765625
2024-04-23 00:00:00+00:00,1507.5999755859375,1459.324951171875,3874.699951171875
2024-04-24 00:00:00+00:00,1511.699951171875,1450.175048828125,3831.050048828125
2024-04-25 00:00:00+00:00,1510.75,1459.9749755859375,3852.199951171875
2024-04-26 00:00:00+00:00,1509.800048828125,1452.550048828125,3821.35009765625
2024-04-29 00:00:00+00:00,1529.5,1465.0250244140625,3870.199951171875
2024-04-30 00:00:00+00:00,1520.0999755859375,1467.0,3820.64990234375
2024-05-02 00:00:00+00:00,1532.25,1466.550048828125,3863.300048828125
2024-05-03 00:00:00+00:00,1519.5999755859375,1434.0,3843.39990234375
2024-05-06 00:00:00+00:00,1522.6500244140625,1419.5250244140625,3921.050048828125
2024-05-07 00:00:00+00:00,1506.1500244140625,1401.4749755859375,3978.949951171875
